Time,Temp,Pressure,Height (ft),Euler X,Euler Y,Euler Z,Ang  x,Ang  y,Ang z,Linear accel x,Linear accel y,Linear accel z
657504,35.54,984.62,13.28,0.25,-3.69,-1.31,0.03,-0.15,-0.57,-1.88,-0.84,29.64
657566,35.54,984.59,14.09,2.12,-3.62,-1.38,0.08,-0.07,-0.55,-0.22,2.31,29.64
657592,35.54,984.59,15.1,2.75,-3.56,-1.44,0.08,-0.07,-0.55,-1.58,1.38,29.64
657616,35.54,984.56,15.1,3.62,-3.56,-1.56,0.11,-0.02,-0.5,-2.28,1.23,29.64
657643,35.55,984.52,16.14,4.12,-3.5,-1.62,0.13,-0.07,-0.43,-1.44,1.83,29.64
657667,35.55,984.52,16.14,4.69,-3.44,-1.88,0.15,-0.03,-0.32,-1.84,1.67,29.64
657689,35.56,984.48,17.34,5.06,-3.44,-2,0.18,-0.06,-0.31,-1.59,1.76,29.64
657713,35.56,984.48,18.84,5.38,-3.38,-2.19,0.2,-0.04,-0.26,-1.95,1.77,29.64
657739,35.57,984.42,18.84,5.75,-3.31,-2.56,0.23,-0.06,-0.18,-1.5,1.7,29.64
657764,35.58,984.37,20.44,5.88,-3.25,-2.81,0.26,-0.06,-0.11,-1.32,1.85,29.65
657790,35.58,984.37,22.08,5.94,-3.12,-3.31,0.3,-0.07,0.03,-1.43,1.69,29.65
657815,35.59,984.31,22.08,5.81,-3,-3.69,0.33,-0.09,0.2,-1.84,1.69,29.65
657837,35.61,984.24,23.88,5.38,-2.88,-4.25,0.36,-0.1,0.34,-1.87,1.62,29.66
657861,35.61,984.24,25.76,4.88,-2.69,-4.69,0.38,-0.1,0.49,-1.57,1.62,29.66
657883,35.62,984.18,25.76,4.25,-2.5,-5.19,0.43,-0.13,0.76,-1.73,1.35,29.67
657907,35.62,984.18,27.76,2.94,-2.19,-6,0.46,-0.14,0.82,-1.67,0.91,29.68
657934,35.64,984.1,27.76,2,-1.88,-6.56,0.48,-0.16,0.87,-1.61,0.75,29.69
657956,35.65,984.03,29.88,0.5,-1.44,-7.44,0.51,-0.18,0.94,-1.92,0.21,29.7
657982,35.65,984.03,32.08,359.5,-1.06,-8,0.52,-0.2,0.94,-1.91,-0.32,29.71
658007,35.66,983.95,32.08,357.88,-0.44,-8.94,0.53,-0.23,0.98,-1.96,-1.03,29.74
658029,35.67,983.86,34.45,356.88,0,-9.5,0.52,-0.25,0.94,-2.36,-1.13,29.75
658056,35.67,983.86,37.04,355.88,0.38,-10.06,0.52,-0.27,0.91,-2.69,-1.47,29.78
658082,35.69,983.77,37.04,354.44,1.12,-10.94,0.51,-0.29,0.9,-2.64,-2.12,29.8
658104,35.7,983.67,39.83,353.44,1.62,-11.5,0.51,-0.31,0.89,-2.78,-2.52,29.83
658128,35.7,983.67,42.87,352,2.44,-12.25,0.49,-0.33,0.87,-3.07,-2.78,29.85
658155,35.71,983.56,42.87,351.12,3.06,-12.75,0.47,-0.34,0.86,-3.16,-3.18,29.87
658178,35.72,983.44,46.29,349.75,3.94,-13.44,0.44,-0.36,0.84,-3.64,-3.8,29.91
658204,35.72,983.44,50.09,348.81,4.56,-13.81,0.42,-0.37,0.84,-4.23,-4.18,29.93
658229,35.73,983.31,50.09,347.38,5.5,-14.38,0.36,-0.36,0.92,-5.07,-4.99,29.97
658251,35.74,983.15,54.37,346.38,6.12,-14.62,0.31,-0.36,0.99,-5.62,-5.8,29.99
658275,35.74,983.15,54.37,345.25,6.81,-14.81,0.27,-0.34,1.05,-6.53,-5.8,30.01
658297,35.75,982.99,58.87,343.44,7.81,-15,0.19,-0.29,1.14,-7.32,-6.1,30.04
658321,35.75,982.99,63.89,342.19,8.38,-15,0.15,-0.25,1.18,-7.79,-6.36,30.05
658348,35.76,982.81,63.89,340.81,9,-14.94,0.09,-0.21,1.24,-7.68,-6.67,30.06
658370,35.77,982.63,68.98,338.62,9.88,-14.62,0,-0.15,1.43,-7.57,-6.39,30.08
658397,35.77,982.63,74,336.88,10.44,-14.25,-0.07,-0.11,1.62,-8.45,-6.18,30.08
658421,35.77,982.45,74,333.94,11.25,-13.5,-0.15,-0.04,1.88,-8.47,-5.42,30.07
658443,35.78,982.27,79.16,331.75,11.75,-12.88,-0.19,0,2.03,-9.11,-5.11,30.06
658467,35.78,982.27,79.16,329.38,12.25,-12.06,-0.24,0.06,2.19,-9,-4.9,30.05
658489,35.79,982.09,84.25,325.5,12.81,-10.75,-0.3,0.14,2.4,-9.25,-3.99,30.03
658513,35.79,982.09,89.45,322.75,13.12,-9.75,-0.32,0.2,2.54,-9,-3.36,30.01
658540,35.79,981.9,89.45,319.81,13.31,-8.69,-0.34,0.26,2.68,-8.93,-2.85,29.98
658562,35.8,981.71,94.73,315.19,13.44,-7,-0.34,0.34,2.87,-8.44,-2.1,29.96
658589,35.8,981.71,100.1,311.94,13.38,-5.81,-0.35,0.39,2.97,-7.96,-1.9,29.93
658614,35.81,981.52,100.1,306.88,13.12,-4.06,-0.33,0.45,3.1,-7.13,-1.35,29.9
658636,35.81,981.32,105.74,303.44,12.81,-2.88,-0.3,0.49,3.17,-6.98,-0.5,29.86
658662,35.81,981.32,111.58,299.88,12.38,-1.81,-0.27,0.51,3.23,-6.43,0.33,29.84
658688,35.82,981.11,111.58,294.44,11.62,-0.19,-0.22,0.53,3.3,-5.4,0.59,29.82
658710,35.82,980.89,117.69,288.94,10.69,1.12,-0.16,0.53,3.36,-4.12,0.27,29.79
658734,35.82,980.89,124.08,285.19,10.06,1.94,-0.12,0.51,3.38,-3.16,0.24,29.77
658761,35.83,980.67,124.08,281.44,9.31,2.69,-0.09,0.49,3.42,-2.93,0.19,29.76
658784,35.83,980.43,130.64,275.75,8.25,3.69,-0.04,0.44,3.46,-2.73,0.07,29.74
658811,35.83,980.43,137.56,271.94,7.5,4.25,-0.04,0.4,3.47,-1.71,-0.34,29.73
658836,35.84,980.18,137.56,266.12,6.44,5,-0.02,0.34,3.5,-1.48,-1.18,29.72
658858,35.84,979.92,144.9,262.25,5.75,5.44,-0.03,0.27,3.54,-0.85,-1.86,29.71
658883,35.84,979.92,152.55,258.31,5.12,5.88,-0.05,0.23,3.58,-1.31,-2.47,29.71
658908,35.85,979.65,152.55,252.31,4.19,6.5,-0.09,0.16,3.66,-1.4,-2.76,29.71
658933,35.85,979.37,160.5,248.19,3.56,6.94,-0.14,0.12,3.69,-1.53,-2.97,29.71
658959,35.85,979.37,168.78,242.06,2.56,7.56,-0.22,0.09,3.74,-1.96,-3.19,29.71
659017,35.86,978.77,177.24,229.31,0.44,8.94,-0.37,0.1,3.93,-3.45,-2.3,29.74
659044,35.86,978.77,186.03,224.88,-0.31,9.44,-0.42,0.11,3.99,-3.54,-1.86,29.75
659068,35.86,978.46,186.03,218.12,-1.69,10.06,-0.46,0.15,4.09,-3.56,-1.39,29.77
659123,35.86,978.14,194.99,206.62,-4.38,10.88,-0.51,0.28,4.24,-1.75,0.77,29.83
659147,35.86,978.14,204.78,199.56,-6.19,11.06,-0.51,0.29,4.29,-1.08,1.02,29.86
659171,35.86,977.79,204.78,194.75,-7.44,11.06,-0.47,0.32,4.31,-0.73,1.66,29.88
659196,35.86,977.43,214.81,190,-8.75,10.88,-0.43,0.33,4.34,0.93,1.94,29.92
659221,35.86,977.43,214.81,182.69,-10.62,10.38,-0.4,0.33,4.37,1.15,0.93,29.94
659243,35.86,977.07,225.09,177.81,-11.81,9.88,-0.38,0.3,4.41,1.52,1.27,29.98
659267,35.86,977.07,235.76,172.94,-12.94,9.25,-0.35,0.28,4.45,2.44,1.07,30
659295,35.85,976.69,235.76,165.44,-14.5,8,-0.33,0.26,4.46,3.04,0.63,30.02
659317,35.86,976.3,246.62,157.94,-15.81,6.56,-0.31,0.21,4.49,3.91,0.24,30.05
659343,35.86,976.3,257.7,152.94,-16.56,5.44,-0.3,0.17,4.51,3.88,-0.24,30.07
659368,35.86,975.91,257.7,147.88,-17.12,4.25,-0.31,0.12,4.55,3.52,-0.54,30.08
659390,35.86,975.51,269.08,140.19,-17.75,2.38,-0.31,0.09,4.58,3.37,-1.13,30.09
659417,35.86,975.51,280.67,135.06,-18,1.12,-0.33,0.08,4.61,3.52,-1.47,30.1
659443,35.86,975.09,280.67,127.25,-18.12,-0.81,-0.33,0.06,4.66,2.65,-2.02,30.1
659465,35.86,974.68,292.45,122,-18.06,-2.12,-0.38,0.06,4.71,2.09,-2.19,30.11
659489,35.86,974.68,304.4,114,-17.69,-4,-0.38,0.03,4.75,1.58,-2.48,30.1
659517,35.86,974.25,304.4,108.62,-17.31,-5.25,-0.42,0.06,4.79,1.41,-2.19,30.1
659539,35.87,973.82,316.65,100.56,-16.56,-6.94,-0.4,0.07,4.82,1.79,-1.15,30.1
659564,35.87,973.82,329.18,95.06,-16,-8.06,-0.43,0.09,4.85,2.02,-1.91,30.09
659589,35.87,973.37,329.18,89.62,-15.25,-9.12,-0.41,0.1,4.89,1.86,-1.68,30.08
659611,35.87,972.92,341.99,81.38,-14.06,-10.56,-0.4,0.1,4.9,1.63,-1.71,30.07
659635,35.87,972.92,341.99,75.88,-13.12,-11.44,-0.37,0.1,4.92,2.01,-1.27,30.06
659657,35.87,972.46,355.02,70.31,-12.12,-12.25,-0.35,0.09,4.95,1.92,-2.16,30.05
659681,35.87,972.46,368.49,62,-10.44,-13.31,-0.32,0.1,4.97,1.69,-1.96,30.04
659709,35.87,971.98,368.49,56.44,-9.19,-13.88,-0.32,0.07,4.99,1.39,-2.72,30.03
659731,35.87,971.5,382.13,48,-7.25,-14.56,-0.32,0.05,5.03,0.75,-2.9,30.01
659758,35.87,971.5,395.94,42.38,-5.88,-14.81,-0.32,0.07,5.07,0.31,-2.73,29.99
659782,35.88,971.01,395.94,33.88,-3.75,-15,-0.33,0.04,5.12,-0.45,-4.16,29.97
659804,35.88,970.51,409.99,28.12,-2.31,-14.94,-0.31,0.06,5.16,-0.29,-3.77,29.96
659828,35.88,970.51,409.99,22.38,-0.94,-14.69,-0.36,0.07,5.2,-1.82,-3.57,29.94
659850,35.88,970.01,424.17,13.62,1.06,-14.12,-0.34,0.08,5.26,-1.76,-2.83,29.92
659874,35.88,970.01,438.74,7.81,2.38,-13.56,-0.34,0.09,5.29,-1.76,-2.78,29.9
659901,35.88,969.5,438.74,1.88,3.62,-12.88,-0.36,0.1,5.31,-1.98,-2.52,29.88
659923,35.88,968.98,453.51,353,5.31,-11.62,-0.33,0.18,5.38,-1.45,-2.35,29.86
659950,35.88,968.98,468.47,347,6.31,-10.62,-0.35,0.11,5.4,-2.05,-2.22,29.84
659974,35.88,968.45,468.47,338,7.69,-8.94,-0.33,0.11,5.45,-1.82,-2.1,29.82
659996,35.88,967.91,483.69,331.94,8.44,-7.75,-0.32,0.15,5.48,-2.27,-2.08,29.81
660022,35.88,967.91,499.16,325.88,9.12,-6.44,-0.32,0.09,5.51,-2.31,-2,29.8
660049,35.88,967.37,499.16,316.69,9.81,-4.31,-0.33,0.12,5.57,-1.6,-2.2,29.79
660071,35.89,966.81,514.83,310.5,10.06,-2.94,-0.34,0.09,5.6,-1.28,-1.69,29.78
660095,35.89,966.81,530.69,301.25,10.19,-0.69,-0.35,0.11,5.61,-1.04,-1.48,29.77
660122,35.89,966.25,530.69,295,10.06,0.81,-0.38,0.07,5.64,-1.41,-1.01,29.77
660144,35.89,965.69,546.61,285.62,9.62,3,-0.36,0.08,5.68,-0.76,-1.81,29.77
660169,35.89,965.69,562.65,279.38,9.19,4.5,-0.37,0.07,5.71,-1.02,-1.27,29.77
660194,35.89,965.13,562.65,273.06,8.5,5.94,-0.41,0.07,5.76,-2.37,0.14,29.78
660216,35.89,964.56,578.94,263.5,7.25,7.94,-0.44,0.06,5.79,-2.32,-0.16,29.79
660240,35.89,964.56,578.94,257.12,6.19,9.19,-0.48,0.06,5.83,-1.17,0.05,29.8
660262,35.89,963.97,595.48,250.62,5,10.31,-0.43,0.08,5.88,0.32,0.63,19.33
660286,35.89,963.97,612.53,244.12,3.69,11.31,-0.44,0.07,5.92,0.51,0.57,10.62
660314,35.89,963.37,612.53,234.31,1.5,12.5,-0.42,0.14,5.94,1.19,1.16,1.07
660336,35.89,962.77,629.8,224.44,-0.88,13.25,-0.45,0.12,5.96,2.76,1.42,-7.98
660363,35.89,962.77,647.48,217.81,-2.62,13.56,-0.45,0.19,5.97,3.75,-0.99,-11.46
660387,35.9,962.15,647.48,207.88,-5.19,13.69,-0.45,0.13,5.99,3.86,0.9,-15.4
660409,35.9,961.51,665.58,201.25,-6.88,13.5,-0.45,0.13,6.02,4.78,0.47,-15.37
660433,35.9,961.51,665.58,194.56,-8.62,13.19,-0.49,0.13,6.02,4.18,0.27,-15.16
660455,35.9,960.87,683.83,184.5,-11.06,12.25,-0.47,0.19,6.03,5.75,0.72,-16.04
660479,35.9,960.87,702.41,177.81,-12.56,11.38,-0.43,0.12,6,6.06,1.64,-16.83
660506,35.9,960.22,702.41,171.12,-13.94,10.31,-0.39,0.1,5.99,7.26,2.57,-18.04
660528,35.9,959.57,720.87,161.06,-15.75,8.5,-0.48,0.14,5.96,6.69,1.26,-18.5
660555,35.9,959.57,739.18,154.44,-16.75,7.06,-0.4,0.07,5.94,6.98,1.93,-18.79
660611,35.9,958.29,757.56,134.69,-18.62,2,-0.37,0,5.84,4.69,-0.46,-20.11
660668,35.9,957.63,776.27,115.25,-18.44,-3.12,-0.37,0.12,5.76,5.4,-0.12,-20.17
660692,35.9,957.63,795.57,108.81,-18.12,-4.81,-0.36,0.01,5.76,5.09,-0.63,-19.81
660718,35.89,956.96,795.57,102.38,-17.5,-6.5,-0.3,0.04,5.77,4.69,-0.87,-20.3
660743,35.89,956.28,814.88,92.62,-16.25,-8.75,-0.41,0.03,5.78,5.13,-0.66,-19.45
660769,35.89,956.28,834.4,86.12,-15.19,-10.25,-0.32,0,5.8,4.43,-2.91,-19.34
660793,35.89,955.6,834.4,76.44,-13.38,-12.12,-0.32,-0.01,5.79,4.26,-1.13,-19.49
660819,35.89,954.92,853.93,69.94,-12.06,-13.19,-0.34,0,5.82,3.23,-2.28,-19.64
660844,35.89,954.92,853.93,60.19,-9.81,-14.38,-0.38,0.04,5.81,3.21,-2.33,-19.62
660866,35.89,954.23,873.68,53.69,-8.25,-15,-0.29,0.08,5.8,3.27,-1.71,-19.34
660890,35.89,954.23,893.71,47.25,-6.69,-15.44,-0.32,0.21,5.8,1.28,-3.28,-20.25
660917,35.89,953.53,893.71,37.62,-4.06,-15.75,-0.39,-0.01,5.78,2.99,-2.79,-19.7
660939,35.89,952.84,913.75,31.19,-2.44,-15.81,-0.28,0.23,5.78,1.47,-3.76,-19.29
660963,35.89,952.84,933.73,21.5,-0.12,-15.5,-0.37,0.18,5.79,1.06,-1.4,-19.36
660987,35.89,952.14,933.73,15.06,1.44,-15.06,-0.3,0.01,5.78,2.59,-3.92,-19.28
661012,35.89,951.45,953.65,5.56,3.81,-14.19,-0.28,0.06,5.71,1.47,-5.54,-19.64
661036,35.89,951.45,953.65,359.19,5.25,-13.25,-0.39,0.13,5.74,0.2,-0.44,-19.21
661058,35.89,950.75,973.69,352.88,6.56,-12.25,-0.3,0.11,5.7,-0.38,-3.78,-19.38
661083,35.89,950.75,993.94,346.56,7.69,-11.12,-0.37,0.07,5.7,-0.12,-2.46,-18.72
661110,35.89,950.05,993.94,337.06,9.31,-9.12,-0.34,0.04,5.72,-1.04,-2.63,-19.69
661132,35.89,949.34,1014.16,327.62,10.69,-6.81,-0.32,0.07,5.72,-0.33,-1.44,-19.17
661158,35.89,949.34,1034.42,321.31,11.25,-5.25,-0.37,0.06,5.7,-0.12,-2.14,-19.47
661183,35.89,948.64,1034.42,315.06,11.62,-3.56,-0.31,0.1,5.68,-0.53,-0.62,-19.73
661205,35.89,947.94,1054.68,305.69,11.94,-1,-0.35,0.07,5.66,0.88,-0.22,-18.68
661232,35.89,947.94,1074.85,299.44,11.94,0.62,-0.36,0.02,5.64,0.56,-0.62,-18.66
661258,35.89,947.24,1074.85,290.12,11.5,3.12,-0.34,0.04,5.61,0.28,0.82,-18.89
661280,35.89,946.54,1095.04,284,10.94,4.81,-0.39,0.04,5.57,0.62,-2.77,-18.47
661304,35.89,946.54,1115.16,277.88,10.31,6.38,-0.37,0.03,5.57,0.87,1.2,-18.83
661332,35.89,945.84,1115.16,268.69,9,8.5,-0.32,0.1,5.54,1.82,-0.19,-18.84
661354,35.9,945.15,1135.17,259.5,7.44,10.44,-0.39,0.03,5.56,1.11,0.19,-18.32
661379,35.9,945.15,1155.04,253.38,6.12,11.5,-0.33,0.08,5.56,0.45,0.75,-19.1
661404,35.9,944.46,1155.04,247.25,4.81,12.56,-0.42,-0.01,5.54,1.21,0.95,-18.2
661426,35.9,943.78,1174.87,238.06,2.75,13.88,-0.45,0.01,5.52,1.42,0.11,-18.01
661450,35.9,943.78,1194.64,232,1.19,14.56,-0.45,0.08,5.5,0.29,1.88,-18.44
661475,35.9,943.09,1194.64,225.94,-0.38,15.06,-0.45,0.07,5.49,-0.25,2.71,-18.16
661500,35.9,942.42,1214.27,216.81,-2.88,15.56,-0.4,0.01,5.48,1.63,3.75,-18.53
661525,35.9,942.42,1233.96,210.69,-4.56,15.62,-0.44,0.04,5.47,2.68,2.67,-18.02
661550,35.9,941.74,1233.96,201.62,-7.19,15.44,-0.39,0.08,5.45,3.1,1.54,-18
661576,35.9,941.06,1253.55,195.56,-8.88,15,-0.36,0.06,5.42,4.29,3.5,-18.32
661600,35.9,941.06,1253.55,186.56,-11.25,14.06,-0.32,0.09,5.41,4.94,2.25,-17.25
661622,35.9,940.38,1273.14,180.56,-12.75,13.12,-0.29,0.13,5.38,3.72,2.44,-18.41
661646,35.9,940.38,1292.93,174.56,-14.12,12.12,-0.32,0.05,5.33,3.97,0.83,-17.68
661673,35.9,939.7,1292.93,165.69,-15.88,10.25,-0.33,-0.03,5.32,4.99,1.76,-17.63
661695,35.9,939.03,1312.58,159.75,-16.81,8.88,-0.34,-0.06,5.29,5.19,0.23,-17.42
661719,35.9,939.03,1332.04,150.88,-18,6.62,-0.27,0.06,5.29,3.87,0.29,-17.64
661743,35.9,938.36,1332.04,144.94,-18.69,5.06,-0.34,0,5.28,4.4,0,-17.68
661768,35.9,937.69,1351.47,139,-19.12,3.44,-0.3,0.07,5.28,3.99,-0.59,-17.77
661793,35.9,937.69,1351.47,130.12,-19.56,0.94,-0.35,0.07,5.27,3.92,0.02,-16.7
661815,35.9,937.02,1370.88,124.25,-19.62,-0.69,-0.35,0.01,5.22,4.32,-0.77,-17.57
661839,35.9,937.02,1390.39,115.5,-19.38,-3.25,-0.3,0.07,5.18,4.02,-0.74,-17.89
661867,35.9,936.35,1390.39,109.69,-19.06,-4.88,-0.31,0.06,5.2,4,-1.38,-17.13
661889,35.9,935.68,1409.84,100.94,-18.25,-7.31,-0.36,0.05,5.22,4.47,-2.17,-17.15
661915,35.9,935.68,1429.24,95.06,-17.62,-8.81,-0.27,0.2,5.21,4.15,-1.7,-16.84
661940,35.9,935.02,1429.24,86.38,-16.31,-11,-0.28,0.09,5.18,2.29,-3.49,-17.02
661962,35.9,934.35,1448.56,80.56,-15.25,-12.25,-0.27,0.08,5.16,4.13,-1.51,-17.19
661989,35.9,934.35,1467.74,74.81,-14.06,-13.44,-0.28,0.17,5.17,3.68,-2.36,-16.89
662015,35.9,933.7,1467.74,66.19,-12.12,-14.88,-0.32,0.07,5.13,2.91,-2.96,-16.97
662037,35.9,933.04,1486.85,60.44,-10.69,-15.69,-0.27,0.07,5.11,3.83,-3.66,-16.43
662061,35.9,933.04,1505.77,51.88,-8.38,-16.56,-0.28,0.03,5.11,2.98,-3.42,-16.93
662088,35.9,932.39,1505.77,46.25,-6.75,-17,-0.26,0.01,5.1,2.88,-2.63,-16.66
662110,35.9,931.75,1524.53,37.69,-4.38,-17.31,-0.28,0.09,5.09,2.41,-3.76,-16.74
662167,35.9,931.11,1543.18,23.62,-0.31,-17.06,-0.25,0.1,5.04,1.15,-4.07,-16.83
662192,35.9,931.11,1562.37,18.06,1.19,-16.69,-0.31,0.1,5.05,1.78,-2.46,-16.93
662247,35.9,929.81,1581.44,1.31,5.56,-14.69,-0.35,0.02,5.02,0.96,-2.2,-16.98
662272,35.9,929.81,1600.49,355.75,6.94,-13.75,-0.31,0.1,5.01,-0.95,-4.04,-16.35
662296,35.9,929.16,1600.49,347.44,8.69,-12.06,-0.31,0.07,5.01,0,-2.71,-16.56
662322,35.89,928.51,1619.51,341.94,9.75,-10.81,-0.32,0.1,5.02,-0.4,-2.7,-16.51
662346,35.89,928.51,1619.51,333.62,11,-8.81,-0.3,0.09,5,-1.59,-2.66,-16.56
662369,35.89,927.86,1638.44,328.12,11.75,-7.31,-0.34,0.05,5.01,-0.65,-0.88,-16.23
662394,35.89,927.86,1657.45,322.56,12.25,-5.81,-0.33,0.03,4.97,-1.53,-1.64,-16.61
662421,35.89,927.22,1657.45,314.38,12.81,-3.38,-0.33,0.04,4.97,0.22,-2.12,-15.87
662443,35.89,926.57,1676.3,306.25,13.06,-1,-0.32,-0.01,4.92,-0.55,0.79,-16.26
662468,35.89,926.57,1695.03,300.81,13,0.56,-0.31,0.09,4.9,-0.75,0.8,-16.82
662494,35.89,925.94,1695.03,295.44,12.75,2.19,-0.31,0.08,4.91,-0.19,0.33,-16.09
662521,35.89,925.3,1713.58,287.38,12.19,4.44,-0.27,0.05,4.88,0.04,0.05,-16.46
662543,35.89,925.3,1732,279.31,11.31,6.62,-0.3,0.09,4.87,0.4,0.52,-16.13
662567,35.89,924.68,1732,273.94,10.62,8,-0.29,-0.01,4.86,-1.32,1.1,-16.23
662590,35.89,924.06,1750.26,268.56,9.75,9.31,-0.3,0.07,4.86,-0.53,1.4,-16.24
662615,35.89,924.06,1768.4,263.25,8.75,10.5,-0.31,0.01,4.85,0.07,1.73,-15.72
662641,35.89,923.44,1768.4,255.19,7.06,12.12,-0.31,0.07,4.83,0.61,0.94,-16
662663,35.89,922.83,1786.44,247.25,5.25,13.5,-0.31,0.03,4.83,0.37,2.53,-15.82
662687,35.89,922.83,1804.34,241.88,3.88,14.31,-0.31,0.07,4.82,-0.54,1.17,-15.81
662711,35.9,922.22,1804.34,236.56,2.5,14.94,-0.32,0.04,4.81,1.52,1.58,-15.68
662736,35.9,921.62,1822.08,231.25,1,15.44,-0.31,0.07,4.81,0.89,2.13,-15.79
662761,35.9,921.62,1822.08,223.25,-1.19,15.94,-0.29,0.07,4.8,0.61,2.23,-15.76
662783,35.9,921.02,1839.79,217.94,-2.75,16.12,-0.31,0.07,4.78,1.52,2.8,-15.2
662807,35.9,921.02,1857.55,212.69,-4.31,16.12,-0.32,0.04,4.77,2.16,2.03,-15.62
662835,35.9,920.42,1857.55,204.75,-6.56,15.94,-0.3,0.06,4.76,2.21,1.44,-15.84
662857,35.9,919.82,1875.21,196.81,-8.88,15.44,-0.31,0.08,4.77,2.85,2.36,-15.47
662883,35.9,919.82,1892.7,191.5,-10.31,14.94,-0.3,0.1,4.78,3.28,2.06,-15.11
662908,35.9,919.23,1892.7,186.19,-11.75,14.25,-0.31,0.03,4.75,3.01,2.77,-15.71
662930,35.9,918.64,1910.17,178.25,-13.75,13,-0.27,0.08,4.73,4.2,3.17,-15.33
662954,35.9,918.64,1910.17,172.94,-14.94,12,-0.28,0.08,4.71,4.7,2.4,-15.23
662976,35.9,918.05,1927.55,165.12,-16.56,10.31,-0.26,0.05,4.7,5.74,2.09,-14.99
663000,35.9,918.05,1944.97,159.88,-17.5,9,-0.25,0.02,4.69,4.98,0.29,-14.84
663027,35.9,917.46,1944.97,154.62,-18.31,7.62,-0.25,0.05,4.67,4.68,1.04,-15.46
663049,35.9,916.88,1962.18,146.81,-19.19,5.44,-0.26,0.04,4.66,4.69,0.49,-14.68
663076,35.9,916.88,1979.21,141.62,-19.62,3.88,-0.25,0,4.66,4.13,0.03,-14.57
663100,35.9,916.3,1979.21,133.81,-20,1.56,-0.28,-0.05,4.65,3.83,-0.32,-14.75
663122,35.9,915.73,1996.24,128.56,-20,0,-0.27,-0.01,4.63,4.49,-0.21,-14.54
663149,35.9,915.73,2013.11,123.44,-19.94,-1.56,-0.26,0.02,4.63,4.34,-0.48,-14.73
663174,35.9,915.16,2013.11,115.62,-19.56,-3.88,-0.27,-0.01,4.61,4.3,-1.61,-14.78
663197,35.9,914.6,2029.9,110.5,-19.19,-5.38,-0.27,-0.01,4.59,4.76,-1.38,-14.91
663221,35.9,914.6,2046.47,102.81,-18.38,-7.5,-0.28,0.03,4.57,4.15,-2.08,-14.83
663249,35.9,914.04,2046.47,97.69,-17.62,-8.81,-0.27,0.01,4.56,4.6,-1.82,-14.69
663271,35.9,913.48,2062.92,90,-16.38,-10.69,-0.26,0.04,4.57,4.09,-2.5,-14.52
663297,35.9,913.48,2079.25,84.94,-15.38,-11.75,-0.29,0.01,4.55,3.46,-2.21,-14.64
663321,35.9,912.93,2079.25,77.31,-13.75,-13.19,-0.3,-0.02,4.55,4.27,-2.91,-14.44
663343,35.9,912.39,2095.54,72.19,-12.56,-14,-0.32,0,4.54,2.99,-2.01,-14.39
663368,35.9,912.39,2095.54,67.12,-11.31,-14.69,-0.31,0.01,4.53,2.92,-2.75,-14.43
663390,35.9,911.84,2111.7,59.56,-9.38,-15.5,-0.3,0.02,4.5,2.73,-2.66,-14.37
663414,35.9,911.84,2127.88,54.56,-8.06,-15.88,-0.31,0.04,4.49,2.08,-4.01,-14.62
663441,35.9,911.3,2127.88,49.56,-6.69,-16.19,-0.29,0,4.47,2.33,-3.17,-14.6
663463,35.9,910.76,2144.01,42.12,-4.69,-16.44,-0.3,0.04,4.45,1.48,-2.69,-14.49
663490,35.9,910.76,2159.98,37.19,-3.31,-16.38,-0.31,0.01,4.43,2.43,-2.75,-14.9
663515,35.9,910.22,2159.98,29.81,-1.19,-16.12,-0.32,0,4.42,0.99,-2.91,-14.52
663537,35.9,909.69,2175.94,24.94,0.06,-15.81,-0.33,0.03,4.41,0.62,-2.57,-14.43
663561,35.9,909.69,2191.73,20.06,1.38,-15.44,-0.3,0.04,4.41,1.07,-3.64,-14.35
663586,35.9,909.16,2191.73,12.75,3.25,-14.62,-0.33,0.02,4.4,0.11,-3.17,-14.24
663610,35.9,908.63,2207.34,7.88,4.38,-13.94,-0.33,0.02,4.41,-0.16,-2.14,-14.17
663634,35.9,908.63,2207.34,0.56,6,-12.75,-0.33,0.06,4.4,-0.67,-3.17,-13.84
663656,35.91,908.11,2222.91,355.69,7,-11.81,-0.32,0.05,4.41,-0.99,-2.41,-13.99
663713,35.9,907.59,2238.55,343.5,9.06,-9.25,-0.32,0.05,4.41,-0.73,-2.26,-14.36
663737,35.9,907.59,2254.47,336.12,10.06,-7.44,-0.3,0.09,4.43,-1.04,-0.52,-14.28
663762,35.9,907.05,2254.47,331.25,10.56,-6.19,-0.31,0.08,4.44,-1.44,-1.29,-14.29
663786,35.9,906.52,2270.28,323.94,11.12,-4.31,-0.32,0.09,4.44,-1.45,-1.38,-14.24
663844,35.9,906,2286.03,309.31,11.38,-0.38,-0.28,0.11,4.39,-0.25,0.02,-14.24
663868,35.9,906,2302,304.5,11.25,0.88,-0.3,0.09,4.37,-1.64,0.05,-14.44
663895,35.89,905.46,2302,299.69,11,2.12,-0.26,0.1,4.38,0,-0.36,-13.97
663917,35.89,904.94,2317.8,292.44,10.5,3.94,-0.27,0.1,4.36,-0.99,-0.25,-14.23
663944,35.89,904.94,2333.47,287.62,10,5.12,-0.25,0.1,4.36,-0.47,0.57,-14.12
663969,35.89,904.41,2333.47,280.44,9.12,6.75,-0.26,0.08,4.34,-1.01,0.76,-14
663991,35.89,903.89,2349.07,275.69,8.44,7.81,-0.27,0.06,4.32,-1.09,1.69,-14.02
